name,type,start_time,duration,"value"
"JTAG","v1frame",7.895447125,0.000011438,"Shift-DR
0x04800000001 (41)
0x00000000000 (41)"
"JTAG","v1frame",7.895458594,0.000000406,"Exit1-DR"
"JTAG","v1frame",7.895459031,0.00000025,"Update-DR"
"JTAG","v1frame",7.895459312,0.000205,"Run-Test/Idle"
"JTAG","v1frame",7.895664344,0.000000219,"Select-DR-Scan"
"JTAG","v1frame",7.895664594,0.00000025,"Capture-DR"
"JTAG","v1frame",7.895664875,0.000011438,"Shift-DR
0x04800000000 (41)
0x04800850440 (41)"
"JTAG","v1frame",7.895676344,0.000000375,"Exit1-DR"
"JTAG","v1frame",7.89567675,0.00000025,"Update-DR"
"JTAG","v1frame",7.895677031,0.000168656,"Run-Test/Idle"
"JTAG","v1frame",7.895845719,0.00000025,"Select-DR-Scan"
"JTAG","v1frame",7.895846,0.000000219,"Select-IR-Scan"
"JTAG","v1frame",7.89584625,0.00000025,"Capture-IR"
"JTAG","v1frame",7.895846531,0.000001625,"Shift-IR
0x11 (5)
0x11 (5)"
"JTAG","v1frame",7.895848188,0.000000406,"Exit1-IR"
"JTAG","v1frame",7.895848625,0.00000025,"Update-IR"
"JTAG","v1frame",7.895848906,0.000000406,"Run-Test/Idle"
"JTAG","v1frame",7.895849344,0.000000219,"Select-DR-Scan"
"JTAG","v1frame",7.895849594,0.00000025,"Capture-DR"
"JTAG","v1frame",7.895849875,0.000011438,"Shift-DR
0x0E000000001 (41)
0x00000000000 (41)"
"JTAG","v1frame",7.895861344,0.000000375,"Exit1-DR"
"JTAG","v1frame",7.89586175,0.00000025,"Update-DR"
"JTAG","v1frame",7.895862031,0.000174375,"Run-Test/Idle"
"JTAG","v1frame",7.896036438,0.00000025,"Select-DR-Scan"
"JTAG","v1frame",7.896036719,0.000000219,"Capture-DR"
"JTAG","v1frame",7.896036969,0.000011438,"Shift-DR
0x0E000000000 (41)
0x0E08010101C (41)"
